
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8787711752951 ;SP ;ARACATUBA ;RES AIMORE ;R DEZESSETE, N. 388, LT 17 QD E2 ;84.440,79;155.000,00;45.53;Casa, 0.00 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711752951
 8787711660542 ;SP ;ARACATUBA ;JARDIM DO TREVO ; RUA DEZESSEIS, N. 266, LOTE 10, QUADRA C2 ;74.016,61;134.500,00;44.97;Casa, 43.92 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711660542
 8444421906252 ;SP ;ARACATUBA ;AVIACAO ;RUA AVIACAO, N. 1196, Apto 42, BL 4B ;45.742,74;81.000,00;43.53;Apartamento, 0.00 de área total, 42.72 de área privativa, 0.00 de área do terreno.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444421906252
 8028160111360 ;SP ;ARACATUBA ;ARACATUBA ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 339, Apto 34, 3º ANDAR, BLOCO 01 ;74.620,98;128.818,31;42.08;Apartamento, 81.69 de área total, 50.91 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8028160111360
 8555525777051 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL DOUTOR ANTONIO VIL ;RUA ANTONIO DOS SANTOS RIBEIRO, N. 174, Apto 404, BL 5 ;74.146,96;128.000,00;42.08;Apartamento, 87.27 de área total, 47.85 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8555525777051
 8787707588298 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA ERNESTO NAZARET (ESQ RUA V DECIO SAMPAIO), N. 70, Apto 203, BL 01 VG 160 ;75.305,50;130.000,00;42.08;Apartamento, 87.82 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787707588298
 8787708288000 ;SP ;ARACATUBA ;RESIDENCIAL AIMORE ; RUA DEZESETE, N. 108, ;76.577,01;132.195,00;42.08;Casa, 43.92 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787708288000
 8787711309217 ;SP ;ARACATUBA ;CHACARAS TV ;RUA NOEL ROSA, N. 719, Apto 202, PAV 02 BL 09 VG 165 ;78.201,87;135.000,00;42.08;Apartamento, 85.43 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711309217
 8787711480978 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;RUA DEZESSEIS, N. 344, LOT 20 QD C2 ;75.305,50;130.000,00;42.08;Casa, 43.92 de área total, 43.92 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha.;Venda Direta Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787711480978
 8787717993853 ;SP ;ARACATUBA ;CONJUNTO HABITACIONAL CLAUDIONOR CINTI ;TRAVESSA ERNESTO NAZARET, N. 140, Apto 201, BL 04, VAGA 21 ;78.201,87;135.000,00;42.08;Apartamento, 86.51 de área total, 39.30 de área privativa, 0.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Licitação Aberta;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8787717993853
