
 Lista de Imóveis da Caixa;;Data de geração:;08/01/2026;;;;;;;
 N° do imóvel;UF;Cidade;Bairro;Endereço;Preço;Valor de avaliação;Desconto;Descrição;Modalidade de venda;Link de acesso

 8444408231093 ;PI ;ALTOS ;SAO LUIZ ;RUA PROJETADA, N. 35, . ;24.103,65;97.000,00;75.16;Casa, 0.00 de área total, 45.11 de área privativa, 160.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444408231093
 8444409870979 ;PI ;ALTOS ;LEITE ;RUA TIRADENTES, N. 956, . ;22.115,72;89.000,00;75.16;Casa, 0.00 de área total, 48.75 de área privativa, 243.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444409870979
 8444418366927 ;PI ;ALTOS ;SANTA LUZ ;RUA VI, N. 436, LT19 QDH ;22.612,70;91.000,00;75.16;Casa, 0.00 de área total, 51.11 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418366927
 8444425574149 ;PI ;ALTOS ;SÃO SEBASTIÃO ;RUA JOSE OLINDO, N. 344, LT16 QD0 ;22.794,96;91.733,48;75.16;Casa, 0.00 de área total, 52.63 de área privativa, 250.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425574149
 8444427335656 ;PI ;ALTOS ;LOT RESID PRIMAVERA ;RUA XVI, N. 214, LT04 QDK ;31.827,34;128.000,00;75.14;Casa, 0.00 de área total, 56.43 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427335656
 8444417431458 ;PI ;ALTOS ;BAIRRO DNER ;RUA  PROJETADA 01, N. 69, . ;19.202,87;77.000,00;75.07;Casa, 0.00 de área total, 56.00 de área privativa, 205.26 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417431458
 8444422837246 ;PI ;ALTOS ;BOCA DE BARRO ;RUA TRAVESSA LUDGERO RAULINO, N. 501, . ;27.998,15;102.800,00;72.77;Casa, 0.00 de área total, 49.99 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444422837246
 8444415619417 ;PI ;ALTOS ;DNER ;RUA PROJETADA 11, N. 184, . ;31.424,79;115.000,00;72.68;Casa, 0.00 de área total, 59.40 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444415619417
 8444424788030 ;PI ;ALTOS ;SANTA LUZ ;RUA  PERIMETRAL II, N. 466, . ;32.281,46;118.135,00;72.68;Casa, 0.00 de área total, 64.90 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444424788030
 8444425131964 ;PI ;ALTOS ;BAIXAO DOS PAIVA ;RUA 2, N. 551, LOTE 20 ;32.244,57;118.000,00;72.68;Casa, 0.00 de área total, 62.00 de área privativa, 265.00 de área do terreno,  2 qto(s), WC, 1 sala(s), sacada, cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444425131964
 8444427526990 ;PI ;ALTOS ;CIANA ;RUA GRAJAU, N. 831, . ;33.200,97;121.500,00;72.68;Casa, 0.00 de área total, 50.89 de área privativa, 208.13 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427526990
 8444412301289 ;PI ;ALTOS ;BAIXAO DE SAO JOSE ;RUA BAIXAO, N. 756, . ;27.512,39;99.645,96;72.39;Casa, 0.00 de área total, 63.00 de área privativa, 200.00 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444412301289
 8444414404948 ;PI ;ALTOS ;BAIRRO BOCA DE BARRO ;RUA PROJETADA B, N. 144, . ;26.622,24;96.421,97;72.39;Casa, 0.00 de área total, 55.47 de área privativa, 230.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444414404948
 8444417184108 ;PI ;ALTOS ;SANTA LUZ ;RUA II, N. 416, LOTE 7 QUADRA D ;27.610,14;100.000,00;72.39;Casa, 0.00 de área total, 45.99 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444417184108
 8444418404500 ;PI ;ALTOS ;SANTA LUZ ;R IV, N. 406, CS 406 ;26.395,29;95.600,00;72.39;Casa, 0.00 de área total, 51.11 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, Terraco, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444418404500
 8444426954204 ;PI ;ALTOS ;TRANQUEIRA ;RUA PROJETADA III, N. 80, . ;24.860,05;90.039,58;72.39;Casa, 0.00 de área total, 52.21 de área privativa, 207.46 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426954204
 8444426630972 ;PI ;ALTOS ;BAIXAO DOS PAIVA ;RUA IV, N. 63, QD H ;35.087,44;127.000,00;72.38;Casa, 0.00 de área total, 66.50 de área privativa, 260.89 de área do terreno,  2 qto(s), a.serv, WC, 1 sala(s), sacada, cozinha.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444426630972
 8444427318565 ;PI ;ALTOS ;BAIXAO DOS PAIVAS ;RUA IV, N. 47, TERRENO URBANO ;35.363,72;128.000,00;72.38;Casa, 0.00 de área total, 66.50 de área privativa, 200.00 de área do terreno,  2 qto(s), WC, 1 sala(s), cozinha, 1 vaga(s) de garagem.;Venda Online;https://venda-imoveis.caixa.gov.br/sistema/detalhe-imovel.asp?hdnimovel=8444427318565
